time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-05T04:45:21.200Z,35.4928333,-118.304,1.71,1.03,ml,18,72,0.1405,0.17,ci,ci37313088,2015-02-05T04:49:10.880Z,"20km ESE of Bodfish, California",earthquake
2015-02-05T04:40:53.570Z,5.2204,-82.6517,10,5.7,mww,,68,4.812,0.89,us,usc000tlun,2015-02-05T06:47:03.782Z,"South of Panama",earthquake
2015-02-05T04:33:02.050Z,35.4895,-118.3058333,2.45,1.68,ml,30,40,0.143,0.26,ci,ci37313080,2015-02-05T04:43:24.860Z,"20km ESE of Bodfish, California",earthquake
2015-02-05T04:32:03.520Z,35.4903333,-118.296,0.84,2.61,ml,50,26,0.1351,0.27,ci,ci37313072,2015-02-05T04:43:19.480Z,"21km ESE of Bodfish, California",earthquake
2015-02-05T04:28:02.490Z,38.8201675,-122.8216629,3.11,0.43,md,11,78,0.009609,0.02,nc,nc72392091,2015-02-05T04:29:39.760Z,"7km NW of The Geysers, California",earthquake
2015-02-05T04:27:42.000Z,63.4903,-150.9529,0,1.2,ml,,,,0.62,ak,ak11502731,2015-02-05T04:43:21.814Z,"100km W of Cantwell, Alaska",earthquake
2015-02-05T04:27:22.400Z,19.2485,-155.42,35.6,2,Md,,86.4,0.02694946,0.21,hv,hv60846546,2015-02-05T04:30:36.331Z,"7km NE of Pahala, Hawaii",earthquake
2015-02-05T04:27:07.080Z,38.8301667,-122.8026667,2.24,0.14,md,12,82,0.008899,0.02,nc,nc72392101,2015-02-05T08:25:05.577Z,"6km W of Cobb, California",earthquake
2015-02-05T04:22:39.390Z,36.6386667,-121.257,5.49,0.76,md,25,72,0.03068,0.07,nc,nc72392086,2015-02-05T08:52:02.529Z,"21km SSE of Ridgemark, California",earthquake
2015-02-05T04:21:48.570Z,8.2968,-72.0589,8,5.3,mww,,20,1.525,1.2,us,usc000tlui,2015-02-05T07:57:54.953Z,"3km N of Umuquena, Venezuela",earthquake
2015-02-05T04:09:19.410Z,33.7561667,-117.0685,17.81,1.3,ml,55,41,0.03764,0.26,ci,ci37313064,2015-02-05T04:20:05.810Z,"2km NNE of Green Acres, California",earthquake
2015-02-05T04:03:50.000Z,62.3506,-149.1262,36.5,1.6,ml,,,,0.8,ak,ak11502724,2015-02-05T04:28:50.327Z,"43km ENE of Y, Alaska",earthquake
2015-02-05T04:03:47.000Z,63.5159,-151.0793,0.7,1.6,ml,,,,0.52,ak,ak11502728,2015-02-05T04:15:25.418Z,"107km W of Cantwell, Alaska",earthquake
2015-02-05T03:56:28.850Z,36.7988,-98.3617,7,2.9,mb_lg,,96,0.356,0.38,us,usc000tlue,2015-02-05T04:21:28.869Z,"4km N of Cherokee, Oklahoma",earthquake
2015-02-05T03:52:57.150Z,38.8121681,-122.7431641,2.92,0.8,md,13,61,0.007447,0.03,nc,nc72392076,2015-02-05T03:54:34.470Z,"2km WSW of Cobb, California",earthquake
2015-02-05T03:40:31.700Z,19.002,-64.4564,58,2.7,Md,3,316.8,0.60187124,0.18,pr,pr15036004,2015-02-05T08:53:24.366Z,"66km NNE of Road Town, British Virgin Islands",earthquake
2015-02-05T03:30:06.660Z,36.0156667,-117.8015,1.1,1.05,ml,14,102,0.03088,0.19,ci,ci37313032,2015-02-05T03:34:00.341Z,"13km NE of Little Lake, California",earthquake
2015-02-05T03:29:37.600Z,17.7786,-66.749,10,2,Md,8,237.6,0.23086703,0.37,pr,pr15036003,2015-02-05T08:52:11.189Z,"24km SSE of Indios, Puerto Rico",earthquake
2015-02-05T03:29:12.980Z,36.0165,-117.8055,1.1,1.71,ml,30,44,0.03376,0.23,ci,ci37313024,2015-02-05T03:39:45.510Z,"13km NE of Little Lake, California",earthquake
2015-02-05T03:27:34.300Z,19.3807,-155.2813,2.6,2.2,Md,,46.8,0.00898315,0.06,hv,hv60237378,2015-02-05T06:36:22.998Z,"7km SW of Volcano, Hawaii",earthquake
2015-02-05T03:26:27.800Z,19.3838,-155.2788,2.5,3.4,Ml,,46.8,0,0.11,hv,hv60846476,2015-02-05T04:09:57.557Z,"6km SW of Volcano, Hawaii",earthquake
2015-02-05T03:25:47.200Z,19.3835,-155.2815,2.4,1.8,Ml,,43.2,0,0.08,hv,hv60846471,2015-02-05T06:27:06.930Z,"6km SW of Volcano, Hawaii",earthquake
2015-02-05T03:19:52.360Z,36.0166667,-117.803,0.03,1.13,ml,17,102,0.03176,0.22,ci,ci37313016,2015-02-05T03:23:31.755Z,"13km NE of Little Lake, California",earthquake
2015-02-05T03:17:34.400Z,19.0727,-67.9089,24,3,Md,7,327.6,1.18397954,0.25,pr,pr15036002,2015-02-05T08:51:52.464Z,"75km NE of Punta Cana, Dominican Republic",earthquake
2015-02-05T03:04:50.990Z,35.7584,-97.3335,11.57,2.3,mb_lg,,34,0.105,0.66,us,usc000tlug,2015-02-05T04:26:18.266Z,"15km SSE of Guthrie, Oklahoma",earthquake
